"indicator","Unit","Date","Value"
"Annual Inflation, Rural Village","Index Sep 2016 = 100","2016M1","2.8"
"Annual Inflation, Rural Village","Index Sep 2016 = 100","2016M2","3.1"
"Annual Inflation, Rural Village","Index Sep 2016 = 100","2016M3","2.7"
"Annual Inflation, Rural Village","Index Sep 2016 = 100","2016M4","2.7"
"Annual Inflation, Rural Village","Index Sep 2016 = 100","2016M5","2.5"
"Annual Inflation, Rural Village","Index Sep 2016 = 100","2016M6","2.6"
"Annual Inflation, Rural Village","Index Sep 2016 = 100","2016M7","3"
"Annual Inflation, Rural Village","Index Sep 2016 = 100","2016M8","2.9"
"Annual Inflation, Rural Village","Index Sep 2016 = 100","2016M9","2.9"
"Annual Inflation, Rural Village","Index Sep 2016 = 100","2016M10","3.1"
"Annual Inflation, Rural Village","Index Sep 2016 = 100","2016M11","3.5"
"Annual Inflation, Rural Village","Index Sep 2016 = 100","2016M12","3.5"
"Annual Inflation, Rural Village","Index Sep 2016 = 100","2017M1","3.6"
"Annual Inflation, Rural Village","Index Sep 2016 = 100","2017M2","3.8"
"Annual Inflation, Rural Village","Index Sep 2016 = 100","2017M3","4.2"
"Annual Inflation, Rural Village","Index Sep 2016 = 100","2017M4","4.2"
"Annual Inflation, Rural Village","Index Sep 2016 = 100","2017M5","4.1"
"Annual Inflation, Rural Village","Index Sep 2016 = 100","2017M6","3.9"
"Annual Inflation, Rural Village","Index Sep 2016 = 100","2017M7","3.7"
"Annual Inflation, Rural Village","Index Sep 2016 = 100","2017M8","3.6"
"Annual Inflation, Rural Village","Index Sep 2016 = 100","2017M9","3.4"
"Annual Inflation, Rural Village","Index Sep 2016 = 100","2017M10","3.3"
"Annual Inflation, Rural Village","Index Sep 2016 = 100","2017M11","3"
"Annual Inflation, Rural Village","Index Sep 2016 = 100","2017M12","3.1"
"Annual Inflation, Rural Village","Index Sep 2016 = 100","2018M1","2.8"
"Annual Inflation, Rural Village","Index Sep 2016 = 100","2018M2","2.7"
"Annual Inflation, Rural Village","Index Sep 2016 = 100","2018M3","2.3"
"Annual Inflation, Rural Village","Index Sep 2016 = 100","2018M4","2.7"
"Annual Inflation, Rural Village","Index Sep 2016 = 100","2018M5","2.5"
"Annual Inflation, Rural Village","Index Sep 2016 = 100","2018M6","2.3"
"Annual Inflation, Rural Village","Index Sep 2016 = 100","2018M7","2.09027356241052"
"Annual Inflation, Rural Village","Index Sep 2016 = 100","2018M8","2"
"Annual Inflation, Rural Village","Index Sep 2016 = 100","2018M9","2"
"Annual Inflation, Rural Village","Index Sep 2016 = 100","2018M10","2.5"
"Annual Inflation, Rural Village","Index Sep 2016 = 100","2018M11","2.6"
"Annual Inflation, Rural Village","Index Sep 2016 = 100","2018M12","2.5"
"Annual Inflation, Rural Village","Index Sep 2016 = 100","2019M1","2.4"
"Annual Inflation, Rural Village","Index Sep 2016 = 100","2019M2","2.27919205759122"
"Annual Inflation, Rural Village","Index Sep 2016 = 100","2019M3","2.18589485803398"
"Annual Inflation, Rural Village","Index Sep 2016 = 100","2019M4","1.6620443462442"
"Annual Inflation, Rural Village","Index Sep 2016 = 100","2019M5","1.80993790926918"
"Annual Inflation, Rural Village","Index Sep 2016 = 100","2019M6","2.09927061497017"
"Annual Inflation, Rural Village","Index Sep 2016 = 100","2019M7","2.13766157666344"
"Annual Inflation, Rural Village","Index Sep 2016 = 100","2019M8","2.2"
"Annual Inflation, Rural Village","Index Sep 2016 = 100","2019M9","2.3"
"Annual Inflation, Rural Village","Index Sep 2016 = 100","2019M10","1.8"
"Annual Inflation, Rural Village","Index Sep 2016 = 100","2019M11","1.5"
"Annual Inflation, Rural Village","Index Sep 2016 = 100","2019M12","1.6"
"Annual Inflation, Rural Village","Index Sep 2016 = 100","2020M1","1.8"
"Annual Inflation, Rural Village","Index Sep 2016 = 100","2020M2","1.9"
"Annual Inflation, Rural Village","Index Sep 2016 = 100","2020M3","2"
"Annual Inflation, Rural Village","Index Sep 2016 = 100","2020M4","2.3"
"Annual Inflation, Rural Village","Index Sep 2016 = 100","2020M5","2.2"
"Annual Inflation, Rural Village","Index Sep 2016 = 100","2020M6","0.4"
"Annual Inflation, Rural Village","Index Sep 2016 = 100","2020M7","1.1"
"Annual Inflation, Rural Village","Index Sep 2016 = 100","2020M8","1.1"
"Annual Inflation, Rural Village","Index Sep 2016 = 100","2020M9","1.9"
"Annual Inflation, Rural Village","Index Sep 2016 = 100","2020M10","2.4"
"Annual Inflation, Rural Village","Index Sep 2016 = 100","2020M11","2.4"
"Annual Inflation, Rural Village","Index Sep 2016 = 100","2020M12","2.4"
"Annual Inflation, Rural Village","Index Sep 2016 = 100","2021M1","2.6"
"Annual Inflation, Rural Village","Index Sep 2016 = 100","2021M2","2.7"
"Annual Inflation, Rural Village","Index Sep 2016 = 100","2021M3","3.5"
"Annual Inflation, Rural Village","Index Sep 2016 = 100","2021M4","5.9"
"Annual Inflation, Rural Village","Index Sep 2016 = 100","2021M5","6.5"
"Annual Inflation, Rural Village","Index Sep 2016 = 100","2021M6","8.3"
"Annual Inflation, Rural Village","Index Sep 2016 = 100","2021M7","9"
"Annual Inflation, Rural Village","Index Sep 2016 = 100","2021M8","8.9"
"Annual Inflation, Rural Village","Index Sep 2016 = 100","2021M9","8.6"
"Annual Inflation, Rural Village","Index Sep 2016 = 100","2021M10","9"
"Annual Inflation, Rural Village","Index Sep 2016 = 100","2021M11","8.8"
"Annual Inflation, Rural Village","Index Sep 2016 = 100","2021M12","8.8"
"Annual Inflation, Rural Village","Index Sep 2016 = 100","2022M1","10.7"
"Annual Inflation, Rural Village","Index Sep 2016 = 100","2022M2","10.6"
"Annual Inflation, Rural Village","Index Sep 2016 = 100","2022M3","9.9"
"Annual Inflation, Rural Village","Index Sep 2016 = 100","2022M4","9.6"
"Annual Inflation, Rural Village","Index Sep 2016 = 100","2022M5","12.1"
"Annual Inflation, Rural Village","Index Sep 2016 = 100","2022M6","13.1169898621497"
"Annual Inflation, Rural Village","Index Sep 2016 = 100","2022M7","14.7875087667358"
"Annual Inflation, Rural Village","Index Sep 2016 = 100","2022M8","15.1113951295839"
"Annual Inflation, Rural Village","Index Sep 2016 = 100","2022M9","14.6673384375928"
"Annual Inflation, Rural Village","Index Sep 2016 = 100","2022M10","13.8"
"Annual Inflation, Rural Village","Index Sep 2016 = 100","2022M11","13"
"Annual Inflation, Rural Village","Index Sep 2016 = 100","2022M12","13.3"
"Annual Inflation, Rural Village","Index Sep 2016 = 100","2023M1","9.3"
"Annual Inflation, Rural Village","Index Sep 2016 = 100","2023M2","9.13740551823692"
"Annual Inflation, Rural Village","Index Sep 2016 = 100","2023M3","10.404345889737"
"Annual Inflation, Rural Village","Index Sep 2016 = 100","2023M4","8.59830311600425"
"Annual Inflation, Rural Village","Index Sep 2016 = 100","2023M5","6.1"
"Annual Inflation, Rural Village","Index Sep 2016 = 100","2023M6","4.8"
"Annual Inflation, Rural Village","Index Sep 2016 = 100","2023M7","1.3"
"Annual Inflation, Rural Village","Index Sep 2016 = 100","2023M8","1"
"Annual Inflation, Rural Village","Index Sep 2016 = 100","2023M9","3.4"
"Annual Inflation, Rural Village","Index Sep 2016 = 100","2023M10","3.1"
"Annual Inflation, Rural Village","Index Sep 2016 = 100","2023M11","3.93219719727209"
"Annual Inflation, Rural Village","Index Sep 2016 = 100","2023M12","3.52292352972521"
"Annual Inflation, Rural Village","Index Sep 2016 = 100","2024M1","4.17733993272176"
"Annual Inflation, Rural Village","Index Sep 2016 = 100","2024M2","4.25819404994696"
"Annual Inflation, Rural Village","Index Sep 2016 = 100","2024M3","2.9"
"Annual Inflation, Rural Village","Index Sep 2016 = 100","2024M4","3.2"
"Annual Inflation, Rural Village","Index Sep 2016 = 100","2024M5","3.2"
"Annual Inflation, Rural Village","Index Sep 2016 = 100","2024M6","3.05907732977579"
"Annual Inflation, Rural Village","Index Sep 2016 = 100","2024M7","4.19910889175106"
"Annual Inflation, Rural Village","Index Sep 2016 = 100","2024M8","4.62771013162444"
"Annual Inflation, Rural Village","Index Sep 2016 = 100","2024M9","1.67206519817504"
"Annual Inflation, Rural Village","Index Sep 2016 = 100","2024M10","1.9"
"Annual Inflation, Rural Village","Index Sep 2016 = 100","2024M11","2.06581484413768"
"Annual Inflation, Rural Village","Index Sep 2016 = 100","2024M12","2"
"Annual Inflation, Rural Village","Index Sep 2016 = 100","2025M1","3.0190583241186"
"Annual Inflation, Rural Village","Index Sep 2016 = 100","2025M2","3.20490295847726"
"Annual Inflation, Rural Village","Index Sep 2016 = 100","2025M3","3.20677798674038"
"Annual Inflation, Rural Village","Index Sep 2016 = 100","2025M4","2.8"
"Annual Inflation, Rural Village","Index Sep 2016 = 100","2025M5","2.44845813594836"
"Annual Inflation, Rural Village","Index Sep 2016 = 100","2025M6","2.45085597059271"
"Annual Inflation, Rural Village","Index Sep 2016 = 100","2025M7","1.80479619951928"
"Annual Inflation, Rural Village","Index Sep 2016 = 100","2025M8","1.64266650068836"
"Annual Inflation, Rural Village","Index Sep 2016 = 100","2025M9","4.03040922754532"
"Annual Inflation, Rural Village","Index Sep 2016 = 100","2025M10","4.22735869912307"
"Annual Inflation, Rural Village","Index Sep 2016 = 100","2025M11","4.03605451973081"
"Annual Inflation, Rural Village","Index Sep 2016 = 100","2025M12","4.10634256373728"
"Annual Inflation, Rural Village","Index Sep 2016 = 100","2026M1","4.2266693260643"
"Annual Inflation, Rural Village","Index Sep 2016 = 100","2026M2","4.3"
"Annual Inflation, Rural Village","Index Sep 2016 = 100","2026M3","4.58583138164681"
"Annual Inflation, Rural Village","Index Sep 2016 = 100","2026M4","11.8"
"Annual Inflation, Rural Village","Index Sep 2016 = 100","2026M5","12.1"
"Annual Inflation, Rural Village","Index Sep 2016 = 100","2026M6","12.1166281199858"
"Annual Inflation, Urban Village","Index Sep 2016 = 100","2016M1","2.6"
"Annual Inflation, Urban Village","Index Sep 2016 = 100","2016M2","3.2"
"Annual Inflation, Urban Village","Index Sep 2016 = 100","2016M3","3.2"
"Annual Inflation, Urban Village","Index Sep 2016 = 100","2016M4","3.2"
"Annual Inflation, Urban Village","Index Sep 2016 = 100","2016M5","3.1"
"Annual Inflation, Urban Village","Index Sep 2016 = 100","2016M6","2.8"
"Annual Inflation, Urban Village","Index Sep 2016 = 100","2016M7","2.7"
"Annual Inflation, Urban Village","Index Sep 2016 = 100","2016M8","2.6"
"Annual Inflation, Urban Village","Index Sep 2016 = 100","2016M9","2.7"
"Annual Inflation, Urban Village","Index Sep 2016 = 100","2016M10","2.7"
"Annual Inflation, Urban Village","Index Sep 2016 = 100","2016M11","2.9"
"Annual Inflation, Urban Village","Index Sep 2016 = 100","2016M12","3"
"Annual Inflation, Urban Village","Index Sep 2016 = 100","2017M1","2.8"
"Annual Inflation, Urban Village","Index Sep 2016 = 100","2017M2","2.9"
"Annual Inflation, Urban Village","Index Sep 2016 = 100","2017M3","3"
"Annual Inflation, Urban Village","Index Sep 2016 = 100","2017M4","3"
"Annual Inflation, Urban Village","Index Sep 2016 = 100","2017M5","3.1"
"Annual Inflation, Urban Village","Index Sep 2016 = 100","2017M6","3.3"
"Annual Inflation, Urban Village","Index Sep 2016 = 100","2017M7","3.2"
"Annual Inflation, Urban Village","Index Sep 2016 = 100","2017M8","3.2"
"Annual Inflation, Urban Village","Index Sep 2016 = 100","2017M9","3"
"Annual Inflation, Urban Village","Index Sep 2016 = 100","2017M10","2.7"
"Annual Inflation, Urban Village","Index Sep 2016 = 100","2017M11","2.6"
"Annual Inflation, Urban Village","Index Sep 2016 = 100","2017M12","2.9"
"Annual Inflation, Urban Village","Index Sep 2016 = 100","2018M1","2.9"
"Annual Inflation, Urban Village","Index Sep 2016 = 100","2018M2","2.9"
"Annual Inflation, Urban Village","Index Sep 2016 = 100","2018M3","2.6"
"Annual Inflation, Urban Village","Index Sep 2016 = 100","2018M4","3.1"
"Annual Inflation, Urban Village","Index Sep 2016 = 100","2018M5","3"
"Annual Inflation, Urban Village","Index Sep 2016 = 100","2018M6","2.7"
"Annual Inflation, Urban Village","Index Sep 2016 = 100","2018M7","2.70252416281398"
"Annual Inflation, Urban Village","Index Sep 2016 = 100","2018M8","2.6"
"Annual Inflation, Urban Village","Index Sep 2016 = 100","2018M9","2.7"
"Annual Inflation, Urban Village","Index Sep 2016 = 100","2018M10","3.4"
"Annual Inflation, Urban Village","Index Sep 2016 = 100","2018M11","3.6"
"Annual Inflation, Urban Village","Index Sep 2016 = 100","2018M12","3.5"
"Annual Inflation, Urban Village","Index Sep 2016 = 100","2019M1","3.4"
"Annual Inflation, Urban Village","Index Sep 2016 = 100","2019M2","3.2"
"Annual Inflation, Urban Village","Index Sep 2016 = 100","2019M3","3.2"
"Annual Inflation, Urban Village","Index Sep 2016 = 100","2019M4","2.6"
"Annual Inflation, Urban Village","Index Sep 2016 = 100","2019M5","2.7"
"Annual Inflation, Urban Village","Index Sep 2016 = 100","2019M6","2.9"
"Annual Inflation, Urban Village","Index Sep 2016 = 100","2019M7","3"
"Annual Inflation, Urban Village","Index Sep 2016 = 100","2019M8","3.1"
"Annual Inflation, Urban Village","Index Sep 2016 = 100","2019M9","3.1"
"Annual Inflation, Urban Village","Index Sep 2016 = 100","2019M10","2.5"
"Annual Inflation, Urban Village","Index Sep 2016 = 100","2019M11","2.3"
"Annual Inflation, Urban Village","Index Sep 2016 = 100","2019M12","2.3"
"Annual Inflation, Urban Village","Index Sep 2016 = 100","2020M1","2.3"
"Annual Inflation, Urban Village","Index Sep 2016 = 100","2020M2","2.3"
"Annual Inflation, Urban Village","Index Sep 2016 = 100","2020M3","2.3"
"Annual Inflation, Urban Village","Index Sep 2016 = 100","2020M4","2.6"
"Annual Inflation, Urban Village","Index Sep 2016 = 100","2020M5","2.3"
"Annual Inflation, Urban Village","Index Sep 2016 = 100","2020M6","1.1"
"Annual Inflation, Urban Village","Index Sep 2016 = 100","2020M7","0.9"
"Annual Inflation, Urban Village","Index Sep 2016 = 100","2020M8","1"
"Annual Inflation, Urban Village","Index Sep 2016 = 100","2020M9","1.7"
"Annual Inflation, Urban Village","Index Sep 2016 = 100","2020M10","2.2"
"Annual Inflation, Urban Village","Index Sep 2016 = 100","2020M11","2.2"
"Annual Inflation, Urban Village","Index Sep 2016 = 100","2020M12","2.1"
"Annual Inflation, Urban Village","Index Sep 2016 = 100","2021M1","2"
"Annual Inflation, Urban Village","Index Sep 2016 = 100","2021M2","2.1"
"Annual Inflation, Urban Village","Index Sep 2016 = 100","2021M3","2.9"
"Annual Inflation, Urban Village","Index Sep 2016 = 100","2021M4","5.5"
"Annual Inflation, Urban Village","Index Sep 2016 = 100","2021M5","6.1"
"Annual Inflation, Urban Village","Index Sep 2016 = 100","2021M6","8.2"
"Annual Inflation, Urban Village","Index Sep 2016 = 100","2021M7","8.8"
"Annual Inflation, Urban Village","Index Sep 2016 = 100","2021M8","8.7"
"Annual Inflation, Urban Village","Index Sep 2016 = 100","2021M9","8.4"
"Annual Inflation, Urban Village","Index Sep 2016 = 100","2021M10","8.7"
"Annual Inflation, Urban Village","Index Sep 2016 = 100","2021M11","8.5"
"Annual Inflation, Urban Village","Index Sep 2016 = 100","2021M12","8.6"
"Annual Inflation, Urban Village","Index Sep 2016 = 100","2022M1","10.4"
"Annual Inflation, Urban Village","Index Sep 2016 = 100","2022M2","10.4"
"Annual Inflation, Urban Village","Index Sep 2016 = 100","2022M3","9.9"
"Annual Inflation, Urban Village","Index Sep 2016 = 100","2022M4","9.4"
"Annual Inflation, Urban Village","Index Sep 2016 = 100","2022M5","11.8"
"Annual Inflation, Urban Village","Index Sep 2016 = 100","2022M6","12.4"
"Annual Inflation, Urban Village","Index Sep 2016 = 100","2022M7","14.2"
"Annual Inflation, Urban Village","Index Sep 2016 = 100","2022M8","14.5"
"Annual Inflation, Urban Village","Index Sep 2016 = 100","2022M9","13.5"
"Annual Inflation, Urban Village","Index Sep 2016 = 100","2022M10","12.8"
"Annual Inflation, Urban Village","Index Sep 2016 = 100","2022M11","11.8172192762404"
"Annual Inflation, Urban Village","Index Sep 2016 = 100","2022M12","12.2"
"Annual Inflation, Urban Village","Index Sep 2016 = 100","2023M1","9.4"
"Annual Inflation, Urban Village","Index Sep 2016 = 100","2023M2","9.0789948494477"
"Annual Inflation, Urban Village","Index Sep 2016 = 100","2023M3","9.7414941343424"
"Annual Inflation, Urban Village","Index Sep 2016 = 100","2023M4","7.89349801195072"
"Annual Inflation, Urban Village","Index Sep 2016 = 100","2023M5","5.6"
"Annual Inflation, Urban Village","Index Sep 2016 = 100","2023M6","4.6"
"Annual Inflation, Urban Village","Index Sep 2016 = 100","2023M7","1.5"
"Annual Inflation, Urban Village","Index Sep 2016 = 100","2023M8","1.2"
"Annual Inflation, Urban Village","Index Sep 2016 = 100","2023M9","3.1"
"Annual Inflation, Urban Village","Index Sep 2016 = 100","2023M10","2.9"
"Annual Inflation, Urban Village","Index Sep 2016 = 100","2023M11","3.72834606997625"
"Annual Inflation, Urban Village","Index Sep 2016 = 100","2023M12","3.37473378160782"
"Annual Inflation, Urban Village","Index Sep 2016 = 100","2024M1","3.6888293331214"
"Annual Inflation, Urban Village","Index Sep 2016 = 100","2024M2","3.66582245855509"
"Annual Inflation, Urban Village","Index Sep 2016 = 100","2024M3","2.8"
"Annual Inflation, Urban Village","Index Sep 2016 = 100","2024M4","3"
"Annual Inflation, Urban Village","Index Sep 2016 = 100","2024M5","2.9"
"Annual Inflation, Urban Village","Index Sep 2016 = 100","2024M6","2.72397413554011"
"Annual Inflation, Urban Village","Index Sep 2016 = 100","2024M7","3.65582712117367"
"Annual Inflation, Urban Village","Index Sep 2016 = 100","2024M8","3.75653158506464"
"Annual Inflation, Urban Village","Index Sep 2016 = 100","2024M9","1.40699104827873"
"Annual Inflation, Urban Village","Index Sep 2016 = 100","2024M10","1.6"
"Annual Inflation, Urban Village","Index Sep 2016 = 100","2024M11","1.78595643554154"
"Annual Inflation, Urban Village","Index Sep 2016 = 100","2024M12","1.7"
"Annual Inflation, Urban Village","Index Sep 2016 = 100","2025M1","2.46461451601643"
"Annual Inflation, Urban Village","Index Sep 2016 = 100","2025M2","2.72625837221925"
"Annual Inflation, Urban Village","Index Sep 2016 = 100","2025M3","3.01509021869684"
"Annual Inflation, Urban Village","Index Sep 2016 = 100","2025M4","2.4"
"Annual Inflation, Urban Village","Index Sep 2016 = 100","2025M5","1.91847076109142"
"Annual Inflation, Urban Village","Index Sep 2016 = 100","2025M6","2.0428791907622"
"Annual Inflation, Urban Village","Index Sep 2016 = 100","2025M7","1.04795118863048"
"Annual Inflation, Urban Village","Index Sep 2016 = 100","2025M8","1.64864534256577"
"Annual Inflation, Urban Village","Index Sep 2016 = 100","2025M9","3.9298695617445"
"Annual Inflation, Urban Village","Index Sep 2016 = 100","2025M10","4.01306374460737"
"Annual Inflation, Urban Village","Index Sep 2016 = 100","2025M11","3.86753160920397"
"Annual Inflation, Urban Village","Index Sep 2016 = 100","2025M12","4.11281737698261"
"Annual Inflation, Urban Village","Index Sep 2016 = 100","2026M1","4.32008887243103"
"Annual Inflation, Urban Village","Index Sep 2016 = 100","2026M2","4.1"
"Annual Inflation, Urban Village","Index Sep 2016 = 100","2026M3","4.24959438229591"
"Annual Inflation, Urban Village","Index Sep 2016 = 100","2026M4","10.1"
"Annual Inflation, Urban Village","Index Sep 2016 = 100","2026M5","10.5"
"Annual Inflation, Urban Village","Index Sep 2016 = 100","2026M6","10.4433791249041"
"Food & Non-","Index Sep 2016 = 100","2016M1","97.6"
"Food & Non-","Index Sep 2016 = 100","2016M2","98.2"
"Food & Non-","Index Sep 2016 = 100","2016M3","98.5"
"Food & Non-","Index Sep 2016 = 100","2016M4","99.3"
"Food & Non-","Index Sep 2016 = 100","2016M5","99.4"
"Food & Non-","Index Sep 2016 = 100","2016M6","99.1"
"Food & Non-","Index Sep 2016 = 100","2016M7","99.3"
"Food & Non-","Index Sep 2016 = 100","2016M8","99.7"
"Food & Non-","Index Sep 2016 = 100","2016M9","100"
"Food & Non-","Index Sep 2016 = 100","2016M10","100.4"
"Food & Non-","Index Sep 2016 = 100","2016M11","100.9"
"Food & Non-","Index Sep 2016 = 100","2016M12","101"
"Food & Non-","Index Sep 2016 = 100","2017M1","101.9"
"Food & Non-","Index Sep 2016 = 100","2017M2","102.3"
"Food & Non-","Index Sep 2016 = 100","2017M3","102.8"
"Food & Non-","Index Sep 2016 = 100","2017M4","103.1"
"Food & Non-","Index Sep 2016 = 100","2017M5","103.4"
